date,queried_at,slug,skill_id,skill_id_source,found,http_status,display_name,category,created_at,updated_at,latest_version,claim_state,verified,owner_handle,downloads,installs,stars,comments,versions_count,in_search_index,search_checked,has_evaluation,eval_skill_id,eval_adaptability,eval_convention,eval_effectiveness,eval_reliability,eval_trust,eval_overall,error
2026-09-26,2026-09-26T22:20:04.396487+08:00,iteration-report-git,203311,doc,True,200,迭代周报生成器,office-efficiency,2026-09-16T10:37:42.527000Z,2026-09-25T17:24:37.659000Z,0.1.2,unclaimed,False,indiv-captain,27,0,0,0,1,True,True,True,203311,4.4,4.7,4.2,4.27,4.75,4.45,
2026-09-26,2026-09-26T22:20:09.105103+08:00,release-checklist-git,203312,doc,True,200,上线检查清单,dev-programming,2026-09-16T10:38:58.302000Z,2026-09-25T17:06:35.282000Z,0.1.0,unclaimed,False,indiv-captain,42,0,0,0,1,True,True,True,203312,4.6,4.12,4.58,4.27,5,4.45,
2026-09-26,2026-09-26T22:20:13.775632+08:00,incident-brief-sre,203313,doc,True,200,线上排查简报,it-ops-security,2026-09-16T10:40:14.046000Z,2026-09-25T17:50:58.542000Z,0.1.0,unclaimed,False,indiv-captain,27,0,0,0,1,True,True,True,203313,4.4,4.45,4.72,4.37,4.5,4.51,
2026-09-26,2026-09-26T22:20:18.388707+08:00,build-workbuddy-connector,203315,doc,True,200,连接器构建助手,dev-programming,2026-09-16T10:41:29.704000Z,2026-09-26T06:31:18.793000Z,0.1.0,unclaimed,False,indiv-captain,49,0,0,0,1,True,True,True,203315,4.8,4.53,4.38,4.17,4.9,4.5,
2026-09-26,2026-09-26T22:20:23.098022+08:00,dev-workflow-pro,203361,doc,True,200,研发全能助手,dev-programming,2026-09-16T11:32:37.399000Z,2026-09-26T14:11:17.649000Z,0.1.0,unclaimed,False,indiv-captain,93,0,0,0,1,True,True,True,203361,4.65,4.12,4.72,3.83,4.9,4.4,
2026-09-26,2026-09-26T22:20:27.723057+08:00,commit-message-cc,203362,doc,True,200,Git 提交信息生成器,dev-programming,2026-09-16T11:33:53.047000Z,2026-09-26T09:36:37.999000Z,0.1.0,unclaimed,False,indiv-captain,53,0,0,0,1,True,True,True,203362,4.65,4.35,4.58,4.17,5,4.5,
2026-09-26,2026-09-26T22:20:32.622726+08:00,changelog-keep,203363,doc,True,200,Changelog 生成器,dev-programming,2026-09-16T11:35:08.726000Z,2026-09-25T23:08:21.428000Z,0.1.0,unclaimed,False,indiv-captain,57,0,0,0,1,True,True,True,203363,4.4,4.2,4.45,4.17,5,4.39,
2026-09-26,2026-09-26T22:20:38.644809+08:00,dep-vuln-check-osv,203365,doc,True,200,依赖漏洞体检,it-ops-security,2026-09-16T11:36:24.459000Z,2026-09-26T10:43:20.351000Z,0.1.0,unclaimed,False,indiv-captain,36,0,0,0,1,True,True,True,203365,4.5,4.38,4.45,4.7,4.5,4.49,
2026-09-26,2026-09-26T22:20:43.287682+08:00,log-anomaly-3sigma,203366,doc,True,200,日志突变检测,it-ops-security,2026-09-16T11:37:40.189000Z,2026-09-26T12:06:17.982000Z,0.1.0,unclaimed,False,indiv-captain,41,0,0,0,1,True,True,True,203366,4.4,4.15,4.47,4.17,5,4.39,
2026-09-26,2026-09-26T22:20:47.888722+08:00,grill-me-zh,203367,doc,True,200,需求盘问官,dev-programming,2026-09-16T11:38:55.827000Z,2026-09-26T11:50:55.591000Z,0.1.0,unclaimed,False,indiv-captain,40,0,0,0,1,True,True,True,203367,4.9,4.38,4.45,4.03,5,4.48,
